season,league_name,rank,team_long_name,points
2008/2009,Belgium Jupiler League,17,Tubize,27
2008/2009,Belgium Jupiler League,15,FCV Dender EH,35
2008/2009,Belgium Jupiler League,10,KV Mechelen,46
2008/2009,Belgium Jupiler League,3,Club Brugge KV,59
2008/2009,Belgium Jupiler League,14,KV Kortrijk,38
2008/2009,Belgium Jupiler League,1,RSC Anderlecht,77
2008/2009,Belgium Jupiler League,9,KSV Cercle Brugge,47
2008/2009,Belgium Jupiler League,1,Standard de Liège,77
2008/2009,Belgium Jupiler League,12,Sporting Charleroi,43
2008/2009,Belgium Jupiler League,8,KRC Genk,50
2008/2009,Belgium Jupiler League,3,KAA Gent,59
2008/2009,Belgium Jupiler League,13,Beerschot AC,42
2008/2009,Belgium Jupiler League,7,Sporting Lokeren,51
2008/2009,Belgium Jupiler League,11,Royal Excel Mouscron,44
2008/2009,Belgium Jupiler League,18,RAEC Mons,19
2008/2009,Belgium Jupiler League,16,KSV Roeselare,30
2008/2009,Belgium Jupiler League,5,SV Zulte-Waregem,55
2008/2009,Belgium Jupiler League,6,KVC Westerlo,52
2008/2009,England Premier League,3,Chelsea,83
2008/2009,England Premier League,10,Manchester City,50
2008/2009,England Premier League,13,Portsmouth,41
2008/2009,England Premier League,16,Sunderland,36
2008/2009,England Premier League,11,Wigan Athletic,45
2008/2009,England Premier League,19,Middlesbrough,32
2008/2009,England Premier League,13,Bolton Wanderers,41
2008/2009,England Premier League,8,Tottenham Hotspur,51
2008/2009,England Premier League,2,Liverpool,86
2008/2009,England Premier League,8,West Ham United,51
2008/2009,England Premier League,13,Blackburn Rovers,41
2008/2009,England Premier League,19,West Bromwich Albion,32
2008/2009,England Premier League,17,Hull City,35
2008/2009,England Premier League,5,Everton,63
2008/2009,England Premier League,4,Arsenal,72
2008/2009,England Premier League,7,Fulham,53
2008/2009,England Premier League,11,Stoke City,45
2008/2009,England Premier League,6,Aston Villa,62
2008/2009,England Premier League,1,Manchester United,90
2008/2009,England Premier League,18,Newcastle United,34
2008/2009,France Ligue 1,18,SM Caen,37
2008/2009,France Ligue 1,14,AS Nancy-Lorraine,42
2008/2009,France Ligue 1,8,AJ Auxerre,55
2008/2009,France Ligue 1,2,Olympique de Marseille,77
2008/2009,France Ligue 1,4,LOSC Lille,64
2008/2009,France Ligue 1,16,Le Mans FC,40
2008/2009,France Ligue 1,10,FC Lorient,45
2008/2009,France Ligue 1,20,Le Havre AC,26
2008/2009,France Ligue 1,3,Olympique Lyonnais,71
2008/2009,France Ligue 1,1,Girondins de Bordeaux,80
2008/2009,France Ligue 1,10,AS Monaco,45
2008/2009,France Ligue 1,18,FC Nantes,37
2008/2009,France Ligue 1,9,OGC Nice,50
2008/2009,France Ligue 1,4,Paris Saint-Germain,64
2008/2009,France Ligue 1,7,Stade Rennais FC,61
2008/2009,France Ligue 1,16,AS Saint-Étienne,40
2008/2009,France Ligue 1,12,Grenoble Foot 38,44
2008/2009,France Ligue 1,12,Valenciennes FC,44
2008/2009,France Ligue 1,14,FC Sochaux-Montbéliard,42
2008/2009,France Ligue 1,4,Toulouse FC,64
2008/2009,Germany 1. Bundesliga,4,Hertha BSC Berlin,63
2008/2009,Germany 1. Bundesliga,9,Bayer 04 Leverkusen,49
2008/2009,Germany 1. Bundesliga,7,TSG 1899 Hoffenheim,55
2008/2009,Germany 1. Bundesliga,17,Karlsruher SC,29
2008/2009,Germany 1. Bundesliga,16,FC Energie Cottbus,30
2008/2009,Germany 1. Bundesliga,10,SV Werder Bremen,45
2008/2009,Germany 1. Bundesliga,1,VfL Wolfsburg,69
2008/2009,Germany 1. Bundesliga,12,1. FC Köln,39
2008/2009,Germany 1. Bundesliga,15,Borussia Mönchengladbach,31
2008/2009,Germany 1. Bundesliga,6,Borussia Dortmund,59
2008/2009,Germany 1. Bundesliga,5,Hamburger SV,61
2008/2009,Germany 1. Bundesliga,13,Eintracht Frankfurt,33
2008/2009,Germany 1. Bundesliga,2,FC Bayern Munich,67
2008/2009,Germany 1. Bundesliga,11,Hannover 96,40
2008/2009,Germany 1. Bundesliga,14,VfL Bochum,32
2008/2009,Germany 1. Bundesliga,18,DSC Arminia Bielefeld,28
2008/2009,Germany 1. Bundesliga,8,FC Schalke 04,50
2008/2009,Germany 1. Bundesliga,3,VfB Stuttgart,64
2008/2009,Italy Serie A,11,Atalanta,47
2008/2009,Italy Serie A,9,Cagliari,53
2008/2009,Italy Serie A,15,Catania,43
2008/2009,Italy Serie A,16,Chievo Verona,38
2008/2009,Italy Serie A,4,Fiorentina,68
2008/2009,Italy Serie A,8,Palermo,57
2008/2009,Italy Serie A,10,Lazio,50
2008/2009,Italy Serie A,14,Siena,44
2008/2009,Italy Serie A,2,Milan,74
2008/2009,Italy Serie A,7,Udinese,58
2008/2009,Italy Serie A,1,Inter,84
2008/2009,Italy Serie A,6,Roma,63
2008/2009,Italy Serie A,19,Reggio Calabria,31
2008/2009,Italy Serie A,18,Torino,34
2008/2009,Italy Serie A,17,Bologna,37
2008/2009,Italy Serie A,12,Napoli,46
2008/2009,Italy Serie A,12,Sampdoria,46
2008/2009,Italy Serie A,2,Juventus,74
2008/2009,Italy Serie A,20,Lecce,30
2008/2009,Italy Serie A,4,Genoa,68
2008/2009,Netherlands Eredivisie,18,FC Volendam,29
2008/2009,Netherlands Eredivisie,10,Vitesse,43
2008/2009,Netherlands Eredivisie,11,N.E.C.,42
2008/2009,Netherlands Eredivisie,12,Willem II,37
2008/2009,Netherlands Eredivisie,16,De Graafschap,30
2008/2009,Netherlands Eredivisie,3,Ajax,68
2008/2009,Netherlands Eredivisie,2,FC Twente,69
2008/2009,Netherlands Eredivisie,13,Sparta Rotterdam,35
2008/2009,Netherlands Eredivisie,4,PSV,65
2008/2009,Netherlands Eredivisie,6,FC Groningen,56
2008/2009,Netherlands Eredivisie,7,NAC Breda,45
2008/2009,Netherlands Eredivisie,14,Heracles Almelo,32
